call_to_arrival,assign_to_arrival,demand_met
14.07911873817234,13.570961687162947,1.0
14.12016264118045,13.624650800714583,1.0
13.972982386654085,13.471150067873577,1.0
14.201583899473555,13.693867960789206,1.0
13.976828366747458,13.473480833866745,1.0
14.13411583806284,13.622878632189048,1.0
13.931898214251488,13.428633764410653,1.0
14.027021319650572,13.51929702265006,1.0
14.05071528122699,13.54002942676338,1.0
14.006534986541856,13.501457241824959,1.0
14.147378434716423,13.647423318715456,1.0
14.062971496637703,13.547672405634867,1.0
13.981087402540725,13.479197943652176,1.0
14.143438424836729,13.643639404912097,1.0
14.119940836010649,13.608472621038114,1.0
14.038075477812713,13.533267424261089,1.0
14.114102884227155,13.604850131898138,1.0
14.049551550568818,13.539860563338317,1.0
14.051755313476978,13.538393843792385,1.0
13.988214257055876,13.47595857303799,1.0
14.066078624625906,13.55884387251708,1.0
14.037483860119222,13.52630794918682,1.0
13.972238900065891,13.464813862713228,1.0
13.98463573748763,13.473535403585231,1.0
13.974379943291188,13.463888443734986,1.0
14.002421922901156,13.501842796357725,1.0
13.991177121652527,13.478553610439397,1.0
13.928441645790759,13.431494253047541,1.0
13.939522162624172,13.4385680889862,1.0
14.018399509774039,13.51411198955346,1.0
