run,exploration ,mean_call_to_arrival,mean_assignment_to_arrival
1,1.0,19.29095721128911,18.775099828082823
2,1.0,19.30106924921686,18.783018256027177
3,1.0,19.373424345757176,18.857987554373164
4,1.0,19.56977209206855,19.008535024052023
5,1.0,19.616369415380323,19.088379271453515
6,1.0,19.505660085317714,18.99259608085652
7,1.0,19.192429688514306,18.67750050903784
8,1.0,19.091189038888487,18.5850434443439
9,1.0,19.20023857941535,18.666991976416632
10,1.0,19.3493266887213,18.812796290243536
11,0.0,16.08662599318915,15.558683415341367
12,0.0,17.118699597863998,16.5964469483248
13,0.0,14.526570737580657,14.014789453553782
14,0.0,15.749655108801823,15.22916200582991
15,0.0,15.575801005620674,15.07566642745101
16,0.0,14.942930703254754,14.437366466879903
17,0.0,15.059738295392833,14.553783965177804
18,0.0,14.552751137491473,14.043717660856409
19,0.0,14.978384850415837,14.473805597741894
20,0.0,15.367052641786891,14.832562384795292
21,0.0,15.240936637807808,14.729493535406673
22,0.0,15.322689661212666,14.813858219396375
23,0.0,15.596407860892807,15.083749540956342
24,0.0,15.608233641909704,15.094835687584624
25,0.0,15.32448880123021,14.815665341676077
26,0.0,15.819125966759717,15.315228351801982
27,0.0,14.980972897832599,14.474981969537854
28,0.0,15.624262343047944,15.11592279887012
29,0.0,14.99217673305893,14.488224356748821
30,0.0,14.682460362435666,14.146817646472613
31,0.0,15.051722098539692,14.54438047423424
32,0.0,14.869086726429313,14.365163066560365
33,0.0,15.379952123450916,14.873083284831862
34,0.0,15.281491151098304,14.775500396793678
35,0.0,15.442811274934613,14.929694578107783
36,0.0,15.089843081197928,14.58585272916951
37,0.0,15.15163150111708,14.652901417322873
38,0.0,15.874456703190765,15.371450630801357
39,0.0,15.586301973819468,15.068846007933546
40,0.0,15.820520143096498,15.30963778416002
41,0.0,15.52676538550198,15.025575696415343
42,0.0,15.537859230064766,15.026578558047621
43,0.0,15.312331619141146,14.811701739028795
44,0.0,16.053655662216354,15.491371051282638
45,0.0,14.973659361970007,14.458156997500758
46,0.0,15.778802863020669,15.258497224518308
47,0.0,15.237337727014086,14.742730696401024
48,0.0,16.99920711006749,16.47032206627073
49,0.0,15.239011799981435,14.735868725981232
50,0.0,15.431336673660066,14.913091576606071
