run,exploration ,mean_call_to_arrival,mean_assignment_to_arrival
1,1.0,19.32223198642391,18.7929475167116
2,1.0,19.107120538322082,18.583443708576567
3,1.0,19.31454082274461,18.7713989364102
4,1.0,19.28717738771097,18.767357432674373
5,1.0,19.31679803382309,18.80411648892046
6,1.0,19.38041305566014,18.860072194478295
7,1.0,19.117937442282766,18.605644876573507
8,1.0,19.2671552904104,18.73373911904299
9,1.0,19.355444366920327,18.843066549468222
10,1.0,19.47805362071263,18.935896031207974
11,0.0,15.388441102925578,14.835149157832976
12,0.0,14.373340422184631,13.8695320933271
13,0.0,14.211131849350018,13.695222749098617
14,0.0,13.752269394782541,13.236620114370876
15,0.0,13.306334339849073,12.800902415965387
16,0.0,13.201296054134405,12.692924804031227
17,0.0,13.28323969899914,12.782214047776643
18,0.0,13.409837870865045,12.906520999869322
19,0.0,13.024556220847321,12.523689969740026
20,0.0,13.440551484299002,12.91937136402469
21,0.0,12.677241763361108,12.17379654984186
22,0.0,12.997636074240392,12.499455968974145
23,0.0,12.560473135787966,12.056885542323398
24,0.0,12.647873517643797,12.146337602857274
25,0.0,12.473741923648896,11.974831818632305
26,0.0,12.423705128734305,11.92446735181929
27,0.0,12.604244775134362,12.101835027997357
28,0.0,12.175281393193316,11.66188383645547
29,0.0,13.075522533766266,12.575291798388326
30,0.0,12.254227129769713,11.750926993505482
31,0.0,13.113228276792187,12.606546559368693
32,0.0,12.124637867741663,11.623045340634631
33,0.0,12.961276041968135,12.443609159819434
34,0.0,13.125180162463266,12.614045715167475
35,0.0,13.334851982991363,12.823546870763575
36,0.0,13.045870990002054,12.540476469596543
37,0.0,13.486765657080262,12.974671389087757
38,0.0,13.053264992732753,12.552619279350447
39,0.0,12.589232876738501,12.085375637490309
40,0.0,13.059141628441736,12.547742518603894
41,0.0,12.885746749935501,12.384060432711934
42,0.0,13.182643563799859,12.678348590954824
43,0.0,13.03621078284518,12.536460957334238
44,0.0,12.741204205238635,12.216203038703688
45,0.0,13.565807244186725,13.06463430421736
46,0.0,13.049848218280014,12.549211640022246
47,0.0,12.941633106692702,12.43605549351806
48,0.0,13.327367460018166,12.825513459926105
49,0.0,13.57605198775142,13.06775474563057
50,0.0,12.936483604196177,12.423582509772448
