run,exploration ,mean_call_to_arrival,mean_assignment_to_arrival
1,1.0,19.09706554023315,18.58318426105986
2,1.0,19.067595562303843,18.55608750247672
3,1.0,19.063468580491065,18.561411336768632
4,1.0,19.41011524932823,18.88509495110556
5,1.0,19.47046403067283,18.96572122090229
6,1.0,19.179607283905188,18.64673074823873
7,1.0,19.201413164868924,18.67804361742243
8,1.0,19.468564071206156,18.94520156820866
9,1.0,19.37249206751428,18.859943130644027
10,1.0,19.19901060749852,18.67657778414011
11,0.0,17.35081048101175,16.83888218702193
12,0.0,15.84210415013843,15.330541312475788
13,0.0,14.210807278284307,13.708104174303882
14,0.0,15.272576236286506,14.774945218333764
15,0.0,14.810876243779063,14.310177286320595
16,0.0,16.930723627298487,16.415169794381647
17,0.0,16.77826184314782,16.27898182582162
18,0.0,13.736520632047364,13.237024646181913
19,0.0,13.577210353181417,13.073502863679845
20,0.0,14.436758406248343,13.930406761162672
21,0.0,13.093818149689815,12.593256467126352
22,0.0,13.800928710417603,13.303710110096347
23,0.0,13.890923837397718,13.395011816324613
24,0.0,13.9316639130777,13.427366882457923
25,0.0,13.793554151084718,13.289020217944424
26,0.0,13.80696931970174,13.308551749381941
27,0.0,13.898574961380438,13.398716092062523
28,0.0,13.94929553382945,13.444975250138674
29,0.0,13.9877953139538,13.469426246762072
30,0.0,13.849407936195046,13.347433962566143
31,0.0,13.862127798691667,13.355725388851164
32,0.0,13.800162209718314,13.302236264064971
33,0.0,13.893160153706186,13.390923154043442
34,0.0,13.862327267357601,13.34343556220184
35,0.0,13.760784634967813,13.25316871992857
36,0.0,13.99903195590871,13.494405331081532
37,0.0,14.090691303171045,13.586596047737107
38,0.0,14.119492873836402,13.605544934885726
39,0.0,13.094068510783151,12.588301731032136
40,0.0,13.140372669326664,12.628802079997897
41,0.0,13.673821410334257,13.159645812891194
42,0.0,13.325541217980225,12.823589045731316
43,0.0,13.617678443347549,13.112285076061886
44,0.0,13.65249901771204,13.152918741266738
45,0.0,14.04933775765101,13.543182669262125
46,0.0,12.907118680144439,12.391516284192306
47,0.0,13.498140309194216,12.99005881525872
48,0.0,13.783823078922088,13.279321380396182
49,0.0,13.713085824208125,13.215401496746788
50,0.0,13.653540033571748,13.1098169190361
