run,exploration ,mean_call_to_arrival,mean_assignment_to_arrival
1,1.0,19.19424018046635,18.648540851346795
2,1.0,19.645868755709497,19.12095960626354
3,1.0,19.290149009182816,18.671845745709433
4,1.0,19.328717663969734,18.781354756125484
5,1.0,19.272905879362025,18.74076464131952
6,1.0,19.1369663690347,18.632599427380182
7,1.0,19.526940029325143,18.969227820631062
8,1.0,19.545859745684854,19.027556200032674
9,1.0,19.316157185799074,18.78996540567188
10,1.0,19.083580395577677,18.56832709505393
11,0.6065761532401006,18.283652214149683,17.735103193064795
12,0.3679346296795588,17.37892654176199,16.86807340935225
13,0.22318037231484725,16.529662066044892,16.003603851328606
14,0.13537589171743386,15.939151036870156,15.411281498193324
15,0.08211578763940967,15.573388410159874,15.043329942606436
16,0.05,15.840800858669342,15.335109579295027
17,0.05,14.97347038624558,14.463679197105515
18,0.05,14.988743158847308,14.48233810323613
19,0.05,15.102892436503167,14.599363389374318
20,0.05,15.890761481520288,15.380919977384174
21,0.05,14.872325718993784,14.354928134858064
22,0.05,15.460823502172882,14.955750907112883
23,0.05,15.561744666333306,15.042515869511002
24,0.05,15.33354558491495,14.83029783849403
25,0.05,15.441656887581036,14.93159385114562
26,0.05,15.809768921363222,15.306317074480036
27,0.05,15.612513833647888,15.107649379918044
28,0.05,15.73967225243246,15.218081604844988
29,0.05,14.546845020839097,14.041848977238896
30,0.05,15.444105287601165,14.933854898557044
31,0.05,15.710504727842805,15.216115165038547
32,0.05,15.03045861354241,14.526555091779693
33,0.05,15.796141016988813,15.291884702782081
34,0.05,14.996226858391994,14.494977880923985
35,0.05,15.519839490665914,15.021663541672007
36,0.05,16.05417379645543,15.543195546032123
37,0.05,15.0468203788825,14.52189661083024
38,0.05,15.278275713535244,14.775338565978586
39,0.05,15.120901170186148,14.608116385785642
40,0.05,15.214949276890685,14.713033433090851
41,0.05,15.51836994571961,14.99715244868924
42,0.05,15.455969073872541,14.940593790052977
43,0.05,15.995945182229553,15.477771496407735
44,0.05,15.58731430928152,15.070692458324498
45,0.05,15.042203290859021,14.515891278594143
46,0.05,15.136404188301686,14.634392861658371
47,0.05,15.51685176025277,15.017414231929713
48,0.05,15.63239504431645,15.11172834510621
49,0.05,15.023761858393568,14.51630336129001
50,0.05,15.194229063801778,14.691202769669456
