call_to_arrival,assign_to_arrival,demand_met
13.865728443010314,13.37198199380233,1.0
13.406984752014669,12.903789615070457,1.0
13.87928445763177,13.383974589676257,1.0
14.103597526773065,13.599592906458543,1.0
13.898952391789997,13.391445994879577,1.0
13.892523981091346,13.380209790649253,1.0
13.838255245048058,13.34041284169221,1.0
13.911366175767473,13.411187683420414,1.0
13.895305169095433,13.386433476937468,1.0
13.685363609828984,13.187747173855866,1.0
13.997588348433878,13.500001329640797,1.0
13.893707386194507,13.389576780920514,1.0
13.757866238996806,13.254349732759222,1.0
13.695898079838981,13.194196778844244,1.0
13.906498821872331,13.402667079583663,1.0
13.657984700267976,13.157252008235353,1.0
13.916030013903224,13.408688601661432,1.0
13.525810791608396,13.024806243005964,1.0
13.896206811483525,13.391114983043265,1.0
13.739810181296738,13.23416874077287,1.0
13.820182963122349,13.291571506928673,1.0
13.728970746056811,13.222959292335297,1.0
13.794183938612287,13.287173580890379,1.0
13.833165003969603,13.333153038499825,1.0
13.879790295909919,13.374209824223726,1.0
13.883865910248833,13.383460861190446,1.0
13.83930884692173,13.333120133266181,1.0
13.867096110420936,13.359085214392781,1.0
13.786884595445079,13.282585527941666,1.0
13.679627703761085,13.171609475337807,1.0
