call_to_arrival,assign_to_arrival,demand_met
13.474757419966004,12.95946753098482,1.0
13.25899023378599,12.76110919538386,1.0
13.260640666893918,12.745108969560384,1.0
13.482951364838371,12.963941805028263,1.0
13.404590158635687,12.881243454325432,1.0
13.015454890926643,12.513748715487946,1.0
13.22135331731264,12.702562109940393,1.0
13.386938235754135,12.885609601545548,1.0
13.662361181447283,13.13652515151608,1.0
13.202245428981637,12.68841195568087,1.0
13.286885365038614,12.794472802512658,1.0
13.545380814331901,13.039434440145566,1.0
13.494409451419118,12.984661448288163,1.0
13.079310049438815,12.563612867971264,1.0
13.456721506988007,12.945296503931186,1.0
13.255884481740996,12.74196749811978,1.0
13.05701708632849,12.554490234100479,1.0
13.275343269285438,12.757544544743334,1.0
13.438663577706631,12.931370201028319,1.0
13.027044448376898,12.526215400150416,1.0
13.476551842056082,12.97785390085028,1.0
13.692496800424873,13.14434431474254,1.0
13.585931718530908,13.071952321098735,1.0
13.333146295016315,12.819453582116834,1.0
13.589848654063807,13.091297711428904,1.0
12.993181495299996,12.481261640167602,1.0
13.487844107881386,12.980141799813882,1.0
13.211119120752462,12.70839320910994,1.0
13.132560075282656,12.604379431614323,1.0
13.262482739096095,12.76134435200064,1.0
