run,exploration ,mean_call_to_arrival,mean_assignment_to_arrival
1,1.0,19.335591718620776,18.78368474750956
2,1.0,19.124732084011832,18.600656705778867
3,1.0,19.523168685594957,18.993378177183367
4,1.0,19.498669838537666,18.97354989938808
5,1.0,19.452774587759905,18.936815970182717
6,1.0,19.188542497531085,18.675192080430975
7,1.0,19.437626812603384,18.889045297870908
8,1.0,19.568226617133902,19.04622719765815
9,1.0,19.250129120570648,18.7236934632802
10,1.0,19.222781582732015,18.704101920656335
11,0.6065761532401006,18.60732967373031,18.069560719283093
12,0.3679346296795588,17.352564320694103,16.822470674607573
13,0.22318037231484725,16.541146301022938,16.032476432036912
14,0.13537589171743386,15.384185611374457,14.84723030727437
15,0.08211578763940967,15.033148263500069,14.525143733281821
16,0.05,14.05012356110965,13.544428901725421
17,0.05,14.677984698924378,14.166500312468488
18,0.05,14.010390990317479,13.512236969400146
19,0.05,14.128637148375304,13.607406093162004
20,0.05,13.85440853482564,13.340403218934608
21,0.05,14.060319812111956,13.555557835070681
22,0.05,13.673135191379556,13.170099589452246
23,0.05,13.522296849128741,13.010423526650701
24,0.05,14.325167187712847,13.814088889946337
25,0.05,13.857951954016862,13.356770673891027
26,0.05,13.721769184086762,13.221360559400768
27,0.05,13.254254310702887,12.747384732362134
28,0.05,13.521968956307049,13.024486856111594
29,0.05,13.248063107843363,12.719475600710542
30,0.05,13.267299385319895,12.756675048739888
31,0.05,12.825028133602663,12.311202748148824
32,0.05,12.961468397583669,12.440906464669787
33,0.05,13.790458328839618,13.271199201644718
34,0.05,13.401825771798558,12.899424575770615
35,0.05,13.218606241084457,12.710872680387544
36,0.05,13.559191581257487,13.049108168396252
37,0.05,13.810246754081062,13.309648298668234
38,0.05,13.522871390670796,12.946537448630647
39,0.05,13.490074518586207,12.98632153390703
40,0.05,12.89395440328465,12.384106762546136
41,0.05,13.240704245820577,12.732445160046787
42,0.05,13.325289847574796,12.810336379539425
43,0.05,13.2443664197777,12.729774513340887
44,0.05,13.156044053171588,12.64687280494498
45,0.05,12.856599187780708,12.352672391335975
46,0.05,12.89085709919512,12.38700434571093
47,0.05,12.947239933017054,12.436105991649669
48,0.05,13.690477397858983,13.190594285733612
49,0.05,13.33670919149159,12.827677653108063
50,0.05,12.953484458027127,12.459860469637343
