run,exploration ,mean_call_to_arrival,mean_assignment_to_arrival
1,1.0,19.21969622189118,18.697694444640355
2,1.0,19.603397569852966,19.048325398726977
3,1.0,19.066539289625787,18.543144428598247
4,1.0,19.37017914265863,18.85932134304117
5,1.0,19.106995631367383,18.5908502965292
6,1.0,19.338249408614573,18.78070566533328
7,1.0,19.049701255422455,18.54343805264355
8,1.0,19.0796679383102,18.560580457156938
9,1.0,19.363592616198968,18.852219357138075
10,1.0,19.30880440499839,18.784731713350567
11,0.0,14.786125751886642,14.292591081951526
12,0.0,13.48703352650916,12.982717205121343
13,0.0,14.261833076112627,13.740664588339294
14,0.0,17.254558527242157,16.738472200542706
15,0.0,16.182018964686897,15.666318426415287
16,0.0,17.27999865498291,16.749046141280683
17,0.0,13.088685010373332,12.591471742669617
18,0.0,12.911579076849259,12.391186480532868
19,0.0,13.443754445889496,12.926618126478312
20,0.0,14.13425686989872,13.61140979603925
21,0.0,15.268111855688415,14.763262124588758
22,0.0,14.69895911464688,14.189803151432542
23,0.0,13.41699590834349,12.920028906018917
24,0.0,14.673707170164848,14.170760991692733
25,0.0,14.204109782151246,13.700887573128629
26,0.0,13.241035405771784,12.739752828255487
27,0.0,13.236828823954518,12.727613794933372
28,0.0,13.882137895623817,13.369449929517131
29,0.0,13.735056450922714,13.23167006700078
30,0.0,14.405876866409344,13.91470453020779
31,0.0,14.67253160576372,14.155815479343914
32,0.0,13.284157169418426,12.77701623483034
33,0.0,13.480652748251176,12.971815703888131
34,0.0,15.203158835493216,14.703611938236943
35,0.0,14.35984865249971,13.857721528112956
36,0.0,14.499799837807954,13.983574518817163
37,0.0,13.646553380416089,13.144779494180938
38,0.0,12.799860802585053,12.294973322517091
39,0.0,13.583650289963298,13.080559195646432
40,0.0,13.534746237632683,13.027027005682168
41,0.0,13.627883247438456,13.1194675940914
42,0.0,14.74711969227293,14.209635920648836
43,0.0,15.029176518568438,14.517577493623202
44,0.0,15.160714279741685,14.658869322857274
45,0.0,14.114684921279839,13.606750408143963
46,0.0,14.025235369117208,13.51467832136883
47,0.0,14.572964114345737,14.067788810710478
48,0.0,13.713444232882402,13.212953635426032
49,0.0,13.501315996425834,12.9921032968097
50,0.0,13.815056796429676,13.305503184006229
